Clique Size,Courses in Clique
8,"CSD411, CSD520, CSO505, CYD536, ESO401, HSD405, HSD507, HSO404"
8,"CYD536, ESD405, HSD507, HSO404, MED401, MED549, MSO403, MSO404"
8,"CYD536, ESD405, FMO547, HSD507, HSO404, MED401, MED549, MSO301"
8,"ESD405, ESO401, GPO501, HSD507, HSD559, MED539, MED540, MEO534"
8,"CSD411, CSD520, ESO401, GPE202, HSD405, HSD559, HSO402, HSO404"
8,"CSD411, CSD511, ESO401, ESO405, HSD507, HSD525, HSD559, HSO404"
8,"CEO401, GPO501, HSD507, HSD525, MED401, MED540, MSO403, MSO404"
8,"ESO401, FMD403, GPE202, GPO501, HSD405, HSD559, MND401, MND406"
8,"CSO505, CYD536, ESD401, ESD405, ESD502, HSD507, HSO404, MSO404"
8,"EEC308, EEC309, EEC310, FME221, GPE202, HSO309, MME202, MNO303"
8,"CYD536, ESO401, ESO405, HSD507, HSO404, MED539, MED540, PEO401"
8,"CYD536, ESD405, ESO401, HSD507, HSO402, MED539, MED540, MSO402"
8,"CSO404, EED401, EED403, ESO401, GPE202, HSD405, HSD559, MSO403"
8,"CSD404, CSD511, ESD405, ESO401, HSD507, HSD559, MSO402, MSO403"
8,"CEO401, ESD405, ESO405, HSD507, MCO401, MED401, MED540, MSO301"
8,"CSO303, FME221, GPE202, HSO404, MME202, MNC300, MNC301, MSO301"
8,"CEO401, CHD408, CHD411, ESD405, ESO401, HSD507, HSO402, HSO404"
8,"EED401, EED403, ESO401, GPE202, GPO501, HSD559, HSO402, MSO401"
8,"EEO404, ESO401, HSD405, HSD507, HSD559, MND400, MND402, MSO403"
8,"HSD507, HSD525, HSD559, HSO403, MED401, MED549, MND405, MSO404"
8,"CSO404, CSO505, ESO401, HSD507, HSD559, MED401, MED540, MSO401"
8,"CSO404, CYD536, EED401, EED403, HSD507, HSO403, MSO401, PEO404"
8,"CSC301, CSC302, EEO404, FME221, GPE202, MME202, MNO301, MNO303"
8,"CSO404, ESD405, GPE202, HSD559, MED403, MED539, MED549, MSO403"
8,"ECD403, ECD405, ESO401, HSD507, HSD525, HSD559, MSO402, MSO403"
8,"CSD411, CSD520, ESO401, GPO501, HSD507, HSD559, HSO402, PEO401"
8,"CYD536, ESO401, HSD507, HSO402, HSO404, MED401, MED540, MSO401"
8,"ESD405, ESO401, GPE202, GPO501, HSD559, MED539, MED549, MSO403"
8,"CSO504, HSO402, HSO404, MSO404, PED401, PED402, PHD510, PHD575"
8,"ESO405, HSD507, HSO404, MSO401, PED401, PED402, PEO404, PHD510"
8,"CEC301, CEC302, ESD405, ESE201, FME221, GPE202, HSO309, MCO403"
8,"CYD536, ESO401, HSD405, HSD507, HSO403, HSO404, MND400, MND402"
8,"CED401, CSO303, GPE202, HSO404, MNE201, PHC514, PHC515, PHO302"
8,"ESO401, FMD403, GPE202, HSD405, HSD559, HSO403, MND401, MSO402"
8,"CYD536, ESO405, HSD405, HSD507, HSO404, MSO404, PED401, PED402"
8,"ESO401, FMD403, GPE202, HSD559, MND401, MND406, MSO402, PEO401"
8,"CED401, CEO401, ESO401, GPE202, GPO501, MNE201, MSO403, PEO401"
8,"EEC308, EEC309, EEC310, ESD405, ESO401, GPE202, MND400, MSO402"
8,"CHO404, CSD411, CSD511, GPE202, GPO501, HSD525, HSD559, MSO403"
8,"CYD536, ESD405, ESO401, FMO547, HSD507, HSO404, MND401, MND402"
8,"CSO505, ESO401, GPO501, HSD507, HSD559, MED401, MED549, MSO401"
8,"ESC308, ESC309, ESC310, GPE202, HSO309, MME202, MNE201, PHO302"
8,"CHD408, CHD411, CHO404, CYD536, GPO501, HSD507, HSO403, MSO401"
8,"EED401, EED403, ESD405, HSD507, HSD559, HSO403, HSO404, MSO404"
8,"EED401, EED403, ESD405, ESO405, GPO501, HSD507, HSD559, MSO404"
8,"CSE201, CSO303, FME221, GPE202, HSO309, MCO403, MNC300, MNC301"
8,"CSO404, CYD536, HSD405, HSD507, HSO403, MED401, MED540, PEO404"
8,"CSD411, CSD511, ESO401, GPE202, GPO501, HSD559, MND406, MSO401"
8,"CHO404, CSD404, CSD511, CSO505, GPO501, HSD507, HSD525, HSD559"
8,"CYD536, EED401, EED403, EEO404, ESD405, HSD507, MSO403, MSO404"
8,"CED401, CEO301, CSO303, CSO404, GPE202, MCC505, MNC300, MNC301"
8,"CSD404, CSD511, ESD405, GPE202, HSD559, HSO403, HSO404, MSO404"
8,"CSD404, CSD520, CSO505, CYD536, ESD405, GPO501, HSD507, MSO404"
8,"CYD536, ECD403, ECD405, FMO547, HSD405, HSD507, MCO401, PEO404"
8,"CEO401, CSO505, FMD401, HSD405, HSD507, MCO401, PED401, PED402"
8,"ECD403, ESD401, GPE202, HSD405, HSD559, HSO402, HSO404, MSO404"
8,"CSD404, CSD520, CSO505, CYD536, HSD405, HSD507, HSO404, MSO404"
8,"CYD536, EEO404, HSD405, HSD507, HSO403, MED401, MED540, MSO301"
8,"CHD401, ECD403, ECD405, ESO401, HSD507, HSD559, MSO402, PEO401"
8,"CSC301, CSC302, ESE201, GPE202, HSO309, MCC505, MNO301, PHO302"
8,"CSO404, ESO401, HSD507, HSD559, HSO403, MED401, MED540, MSO401"
8,"ESO401, GPE202, HSD559, HSO403, MED539, MED549, MSO402, PEO401"
8,"CSO404, CYD536, ECD403, ECD405, ESO401, HSD507, MSO401, MSO403"
8,"ESO401, FMD403, GPE202, HSD559, HSO403, MND401, MSO402, PEO401"
8,"CSD411, CSD511, CSO404, HSD507, HSD525, HSD559, HSO403, MSO404"
8,"CHO404, CSD411, CSD520, CSO505, HSD507, HSD559, MND405, MSO401"
8,"CYD536, ECD403, ECD405, EEO404, ESO401, HSD507, MEO534, MSO401"
8,"ESO401, HSD507, HSD559, HSO402, MSO402, PED401, PED402, PEO401"
8,"CEO401, CSD411, CSD511, CSO505, HSD507, HSD525, HSO404, MSO301"
8,"CEO401, ESO401, ESO405, GPO501, HSD507, PED401, PED402, PEO401"
8,"CEO401, CSC301, CSC302, ESE201, GPE202, HSO309, MCC505, MSO301"
8,"EEO404, ESO401, ESO405, HSD507, HSD525, HSD559, MED401, MED549"
